"date","time","count","timezone"
"2023-08-27","00:22","3011","UTC"
"2023-08-27","01:22","4081","UTC"
"2023-08-27","02:22","4780","UTC"
"2023-08-27","03:22","4930","UTC"
"2023-08-27","04:22","4820","UTC"
"2023-08-27","05:22","5107","UTC"
"2023-08-27","06:22","5023","UTC"
"2023-08-27","07:22","4868","UTC"
"2023-08-27","08:22","4842","UTC"
"2023-08-27","09:22","4912","UTC"
"2023-08-27","10:22","4670","UTC"
"2023-08-27","11:22","4387","UTC"
"2023-08-27","12:22","4532","UTC"
"2023-08-27","14:22","6101","UTC"
"2023-08-27","15:22","7233","UTC"
"2023-08-27","16:22","7403","UTC"
"2023-08-27","17:22","5866","UTC"
"2023-08-27","18:22","3632","UTC"
"2023-08-27","19:22","2249","UTC"
"2023-08-27","20:22","1517","UTC"
"2023-08-27","21:22","1093","UTC"
"2023-08-27","22:22","1066","UTC"
"2023-08-27","23:22","1938","UTC"
"2023-08-16","00:22","3285","UTC"
"2023-08-16","01:22","3654","UTC"
"2023-08-16","02:22","4211","UTC"
"2023-08-16","03:22","4504","UTC"
"2023-08-16","04:22","4524","UTC"
"2023-08-16","05:22","5212","UTC"
"2023-08-16","06:22","4465","UTC"
"2023-08-16","07:22","4487","UTC"
"2023-08-16","08:22","4424","UTC"
"2023-08-16","09:22","4707","UTC"
"2023-08-16","10:22","4511","UTC"
"2023-08-16","11:22","4343","UTC"
"2023-08-16","12:22","4509","UTC"
"2023-08-16","13:22","4787","UTC"
"2023-08-16","14:22","5791","UTC"
"2023-08-16","15:22","6676","UTC"
"2023-08-16","16:22","6892","UTC"
"2023-08-16","18:22","3940","UTC"
"2023-08-16","19:22","2329","UTC"
"2023-08-16","20:22","1438","UTC"
"2023-08-16","21:22","1102","UTC"
"2023-08-16","22:23","1297","UTC"
"2023-08-16","23:22","2201","UTC"
"2023-09-15","01:23","410","UTC"
"2023-09-15","02:23","418","UTC"
"2023-09-15","03:23","442","UTC"
"2023-09-15","04:23","404","UTC"
"2023-09-15","05:23","565","UTC"
"2023-09-15","06:23","481","UTC"
"2023-09-15","07:24","452","UTC"
"2023-09-15","08:23","444","UTC"
"2023-09-15","09:23","417","UTC"
"2023-09-15","10:23","487","UTC"
"2023-09-15","11:23","446","UTC"
"2023-09-15","12:23","471","UTC"
"2023-09-15","14:23","610","UTC"
"2023-09-15","15:23","738","UTC"
"2023-09-15","16:23","857","UTC"
"2023-09-15","17:23","823","UTC"
"2023-09-15","18:23","524","UTC"
"2023-09-15","20:23","207","UTC"
"2023-09-15","21:23","178","UTC"
"2023-09-15","23:23","286","UTC"
"2023-09-11","00:23","365","UTC"
"2023-09-11","01:23","387","UTC"
"2023-09-11","02:23","406","UTC"
"2023-09-11","03:23","448","UTC"
"2023-09-11","04:23","573","UTC"
"2023-09-11","05:23","550","UTC"
"2023-09-11","06:23","482","UTC"
"2023-09-11","07:23","462","UTC"
"2023-09-11","08:23","441","UTC"
"2023-09-11","09:23","453","UTC"
"2023-09-11","10:23","466","UTC"
"2023-09-11","11:23","478","UTC"
"2023-09-11","13:23","596","UTC"
"2023-09-11","15:23","889","UTC"
"2023-09-11","16:23","927","UTC"
"2023-09-11","17:23","776","UTC"
"2023-09-11","18:23","464","UTC"
"2023-09-11","19:23","260","UTC"
"2023-09-11","20:23","205","UTC"
"2023-09-11","21:23","183","UTC"
"2023-09-11","22:23","211","UTC"
"2023-09-11","23:23","309","UTC"
"2023-09-08","00:22","366","UTC"
"2023-09-08","01:22","393","UTC"
"2023-09-08","02:22","420","UTC"
"2023-09-08","03:22","483","UTC"
"2023-09-08","04:22","467","UTC"
"2023-09-08","05:22","582","UTC"
"2023-09-08","06:22","509","UTC"
"2023-09-08","07:22","446","UTC"
"2023-09-08","08:22","451","UTC"
"2023-09-08","09:22","412","UTC"
"2023-09-08","10:22","409","UTC"
"2023-09-08","11:22","477","UTC"
